trial_id,epoch,train_HuberLoss,train_MSE,train_MAE,val_HuberLoss,val_MSE,val_MAE,hidden_size,num_layers,learning_rate,batch_size,window_size,train_l1,train_mse,train_mae,val_l1,val_mse,val_mae,dropout
1,1,57.21398015703474,5682.279830496652,57.713441903250555,0.9095212519168854,2.098836585879326,1.403374046087265,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,2,53.10273132324219,5215.89454171317,53.599280439104355,3.3732880353927612,15.131799697875977,3.873288005590439,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,3,50.96933135986328,4976.501189313616,51.465398570469446,5.093768775463104,31.494062185287476,5.593768775463104,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,4,49.495785576956614,4808.947237723214,49.990892137799946,6.452199101448059,48.60478496551514,6.952199101448059,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,5,48.39865847996303,4681.5833740234375,48.89252030508859,7.50665283203125,64.42843961715698,8.006652772426605,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,6,47.61478012629917,4588.307327706473,48.108746664864675,8.271133542060852,77.28859519958496,8.771133542060852,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,7,47.08290944780622,4523.892311314175,47.57854333605085,8.7858647108078,86.60455703735352,9.2858647108078,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,8,46.74795259748186,4482.8924525669645,47.24262591770717,9.089877009391785,92.35480690002441,9.589877009391785,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,9,46.57093445914132,4461.105400739398,47.06687720162528,9.233059406280518,95.12664127349854,9.733059406280518,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,10,46.500488662719725,4452.408530970982,46.99639636448452,9.270775079727173,95.8634843826294,9.770775079727173,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,11,46.485871233258926,4450.61558140346,46.98172700064523,9.270775079727173,95.8634843826294,9.770775079727173,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,12,46.47184426443918,4448.857890973773,46.96764706202916,9.309659719467163,96.62601566314697,9.809659719467163,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,13,46.4028046471732,4440.200270298549,46.89811246054513,9.462735533714294,99.65691471099854,9.962735533714294,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,14,46.22929153442383,4418.412766810826,46.72199004037039,9.799566864967346,106.49004173278809,10.299566864967346,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,15,45.92352616446359,4379.802082170759,46.41737659999303,10.319281816482544,117.47841167449951,10.819281816482544,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,16,45.47518348693848,4322.656136648996,45.97162699018206,11.02285623550415,133.21978569030762,11.52285623550415,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,17,44.89065317426409,4247.145403180803,45.38493140084403,11.893704533576965,154.0826759338379,12.393704533576965,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,18,44.21388680594308,4157.787670898438,44.70817266191755,12.754965662956238,176.23876571655273,13.254965662956238,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,19,43.50288957868304,4060.8389142717633,43.99803237915039,13.582892060279846,198.96739387512207,14.082892060279846,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,20,42.79914068494524,3961.612198311942,43.293887519836424,14.015861868858337,211.465425491333,14.515861749649048,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,21,42.14386662074498,3865.8769112723216,42.6392830984933,12.517618060112,170.31325340270996,13.01761794090271,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,22,41.550168664114814,3777.5268484933035,42.04600851876395,3.5605070888996124,16.678775548934937,4.060507088899612,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,23,40.49293060302735,3692.7329781668527,40.9873008455549,2.0871756076812744,6.859585762023926,2.5871756076812744,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,24,38.94763987404959,3594.050974818638,39.43592281341553,1.8905431628227234,5.878038644790649,2.3905430734157562,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,25,38.01914732796805,3510.2395167759487,38.50590147290911,1.9206834584474564,6.029565334320068,2.42068350315094,32,2,0.000765086330493613,32,17,,,,,,,0.1
1,26,37.370041193280905,3444.750870186942,37.85196876525879,1.9280115365982056,6.068708896636963,2.428011566400528,32,2,0.000765086330493613,32,17,,,,,,,0.1
2,1,59.06627567836217,5897.131529017857,59.56627567836217,0.19123170897364616,0.38246341794729233,0.551400899887085,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,2,59.02919932774135,5892.765597098214,59.52919932774135,0.1924600601196289,0.3849201202392578,0.5532688051462173,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,3,58.99344090053013,5888.5504115513395,59.49344068254743,0.19361353665590286,0.3872270733118057,0.5550261288881302,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,4,58.96032998221261,5884.662318638393,59.46032998221261,0.1946699619293213,0.3893399238586426,0.5566273629665375,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,5,58.931208801269534,5881.250502232143,59.431208801269534,0.1955881416797638,0.3911762833595276,0.5580122619867325,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,6,58.90667637416295,5878.368680245536,59.4066762651716,0.19631186872720718,0.39262373745441437,0.559102937579155,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,7,58.885718318394254,5875.910539899553,59.385718427385605,0.19682421535253525,0.3936484307050705,0.5598836541175842,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,8,58.866572679792135,5873.704366629464,59.36657278878348,0.1971333548426628,0.3942667096853256,0.5603550374507904,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,9,58.85111530848912,5871.969049944197,59.35111530848912,0.1972752958536148,0.3945505917072296,0.5605712085962296,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,10,58.84365539550781,5871.142682756697,59.34365550449916,0.19731102883815765,0.3946220576763153,0.5606256127357483,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,11,58.84213812691825,5870.975299944196,59.342138344900945,0.19731102883815765,0.3946220576763153,0.5606256127357483,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,12,58.84088352748326,5870.836879185268,59.34088363647461,0.19734562560915947,0.39469125121831894,0.560678243637085,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,13,58.83454110281808,5870.137353515625,59.33454121180943,0.19747982919216156,0.3949596583843231,0.5608824491500854,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,14,58.81648047310966,5868.146944754464,59.316480364118306,0.1977716088294983,0.3955432176589966,0.5613259673118591,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,15,58.784295436314174,5864.591120256697,59.284295436314174,0.19826629757881165,0.3965325951576233,0.5620764046907425,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,16,58.75200249808175,5860.959702845982,59.2520026070731,0.19899212568998337,0.39798425137996674,0.5631741732358932,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,17,58.72094399588449,5857.378766741072,59.220944213867185,0.19997220858931541,0.39994441717863083,0.5646505653858185,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,18,58.685047476632256,5853.175258091518,59.185047476632256,0.2012205719947815,0.402441143989563,0.5665213763713837,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,19,58.64116287231445,5847.964125279018,59.1411627633231,0.2027408666908741,0.4054817333817482,0.568785235285759,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,20,58.58659166608538,5841.34343610491,59.08659199305943,0.20452791452407837,0.40905582904815674,0.5714264363050461,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,21,58.518122863769534,5832.772991071429,59.01812308175223,0.2065601572394371,0.4131203144788742,0.5744305998086929,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,22,58.436942618233815,5822.377999441965,58.936942618233815,0.20876966789364815,0.4175393357872963,0.5776744335889816,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,23,58.35390635899135,5811.804771205357,58.85390635899135,0.211011104285717,0.422022208571434,0.5809351801872253,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,24,58.28188988821847,5802.940108816964,58.78188977922712,0.21310093626379967,0.42620187252759933,0.5839504301548004,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,25,58.22529482160296,5796.240415736607,58.72529482160296,0.21488970890641212,0.42977941781282425,0.5865136682987213,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
2,26,58.183340890066965,5791.419977678572,58.683340890066965,0.2162855751812458,0.4325711503624916,0.5885032266378403,32,1,6.205888147404647e-05,64,16,,,,,,,0.0
3,1,58.48233582632882,5835.9398263113835,58.98233593532017,0.16229109652340412,0.32458219304680824,0.5075850673019886,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,2,57.001160049438475,5671.750404575893,57.50048517499651,0.17001518793404102,0.34003037586808205,0.5193757079541683,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,3,54.93448826926095,5440.765562220982,55.43254705156599,0.1809826884418726,0.3619653768837452,0.5357337817549706,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,4,52.782507814679825,5196.706504603794,53.27899905613491,0.18690514750778675,0.3738102950155735,0.5441603027284145,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,5,51.315187971932545,5028.293600027901,51.81098997933524,0.1897269506007433,0.3794539012014866,0.5479795448482037,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,6,50.34266989571707,4915.297799246652,50.838075692313055,0.19252266734838486,0.3850453346967697,0.5518083460628986,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,7,49.71240495954241,4842.811124093192,50.208342851911276,0.1948365606367588,0.3896731212735176,0.5550060048699379,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,8,49.370121356419155,4803.272687639509,49.86373974936349,0.1962808072566986,0.3925616145133972,0.5570032149553299,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,9,49.199838284083775,4783.509481375558,49.69407187870571,0.19694059528410435,0.3938811905682087,0.5579156689345837,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,10,49.13594398498535,4776.084284319197,49.63080771309989,0.1971102599054575,0.394220519810915,0.5581503994762897,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,11,49.12319766453334,4774.606025041852,49.618163626534596,0.1971102599054575,0.394220519810915,0.5581503994762897,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,12,49.11149362836565,4773.228036063058,49.606556156703405,0.19727986305952072,0.39455972611904144,0.5583852827548981,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,13,49.05441777365548,4766.523114885603,49.54984013693673,0.1979501061141491,0.3959002122282982,0.5593131333589554,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,14,48.9128107888358,4749.8847708565845,49.40843118940081,0.19944172725081444,0.3988834545016289,0.5613736733794212,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,15,48.65738961356027,4719.801351492745,49.150815909249445,0.2021029368042946,0.4042058736085892,0.5650333352386951,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,16,48.26733409336635,4673.397654506139,48.76074883597238,0.2062355075031519,0.4124710150063038,0.5706754438579082,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,17,47.753813879830496,4611.277584402902,48.247651072910855,0.21198812499642372,0.42397624999284744,0.5785491168498993,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,18,47.18436173030308,4541.756441824777,47.679830796378,0.2187524549663067,0.4375061169266701,0.5877436026930809,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,19,46.55961766924177,4464.349040876116,47.05474967956543,0.22681190446019173,0.45364102721214294,0.5985291972756386,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,20,45.9411404473441,4386.958190917969,46.434782654898505,0.23540792055428028,0.4708807058632374,0.6099112033843994,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,21,45.35651468549456,4312.694859967913,45.852941731044226,0.24367547780275345,0.4875045195221901,0.6207601577043533,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,22,44.80439932686942,4241.574566650391,45.29841382162912,0.2508730925619602,0.5020227544009686,0.6300059109926224,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,23,44.2613573891776,4170.622787039621,44.755695533752444,0.2514544688165188,0.503224391490221,0.6304318681359291,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,24,43.82758039746966,4113.6436732700895,44.32154230390276,0.24660650454461575,0.49347304180264473,0.623628169298172,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,25,43.48167231423514,4068.6297127859934,43.97579184940883,0.24000900983810425,0.48020488768815994,0.6145587414503098,96,1,0.0001451721818338747,32,10,,,,,,,0.1
3,26,43.21357977730887,4033.936921909877,43.70834402356829,0.23421619459986687,0.4685659892857075,0.606572836637497,96,1,0.0001451721818338747,32,10,,,,,,,0.1
4,1,49.03485172816685,4739.505043247768,49.529604012625555,17.649492263793945,329.5158462524414,18.149492263793945,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,2,41.29112843104771,3735.74276297433,41.786260332380024,26.42383861541748,725.0050201416016,26.92383861541748,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,3,38.395286996024,3248.053932407924,38.89234842572893,32.235300064086914,1071.7110900878906,32.735300064086914,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,4,37.12579105922154,2982.9992553710936,37.62304589407785,36.05559062957764,1336.4221496582031,36.55559062957764,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,5,36.51499034336635,2832.982386125837,37.012122344970706,38.61347675323486,1529.9748840332031,39.11347675323486,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,6,36.20174729483468,2744.872149658203,36.69939940316336,40.25989627838135,1661.4796752929688,40.75989627838135,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,7,36.03616589137486,2693.5184378487725,36.5318845476423,41.27939033508301,1745.6280822753906,41.77939033508301,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,8,35.95790296282087,2665.7819754464285,36.4553961617606,41.78701686859131,1788.3022766113281,42.28701686859131,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,9,35.92376142229352,2652.706612723214,36.42142535618373,42.0226354598999,1808.2851257324219,42.5226354598999,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,10,35.911732946123394,2647.595860072545,36.40920911516462,42.0789794921875,1813.0800476074219,42.5789794921875,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,11,35.90968821389335,2646.62094203404,36.407279532296315,42.0789794921875,1813.0800476074219,42.5789794921875,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,12,35.906428582327706,2645.633131626674,36.40414139883859,42.136799812316895,1818.00732421875,42.636799812316895,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,13,35.89162248883929,2640.7269417898997,36.38964783804757,42.36648082733154,1837.6456909179688,42.86648082733154,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,14,35.85739985874721,2628.3838492257255,36.35432368687221,42.870059967041016,1881.0726623535156,43.370059967041016,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,15,35.807383346557614,2607.563459123884,36.30323974064418,43.58357334136963,1943.4719848632812,44.08357334136963,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,16,35.758748517717635,2583.5002764020646,36.256743267604286,44.416808128356934,2017.6300048828125,44.916808128356934,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,17,35.71373241969517,2557.0795131138393,36.211381258283346,45.35041809082031,2102.3712768554688,45.85041809082031,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,18,35.68743465968541,2531.792056274414,36.17947869982038,46.141459465026855,2175.5363159179688,46.641459465026855,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,19,35.69475759778704,2523.6320591517856,36.18364453996931,46.02519607543945,2164.7042236328125,46.52519607543945,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,20,35.69327419825962,2524.242702811105,36.18183626447405,46.10154151916504,2171.8140869140625,46.60154151916504,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,21,35.69580094473702,2524.3260336739677,36.184281539916995,46.01759719848633,2163.9972534179688,46.51759719848633,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,22,35.692763110569544,2523.5604705810547,36.181615529741556,46.139092445373535,2175.3152465820312,46.639092445373535,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,23,35.69420871734619,2523.876286969866,36.183162743704656,46.10693168640137,2172.3164672851562,46.60693168640137,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,24,35.69330667768206,2524.4582244873045,36.181946182250975,46.086737632751465,2170.4346313476562,46.586737632751465,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,25,35.692133576529365,2524.875465611049,36.180505643572126,46.07003402709961,2168.87841796875,46.57003402709961,224,3,0.001523529403452131,64,17,,,,,,,0.1
4,26,35.69072739737374,2525.188636997768,36.178859438214985,46.057106018066406,2167.6744384765625,46.557106018066406,224,3,0.001523529403452131,64,17,,,,,,,0.1
5,1,58.56260757446289,5837.859186662947,59.06260762895857,0.28437545523047447,0.5689106658101082,0.6829031333327293,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,2,57.71009407043457,5738.067470005581,58.20975254603795,0.328555416315794,0.6586872637271881,0.7396057993173599,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,3,56.04535059247698,5547.02977469308,56.544475991385326,0.3715939149260521,0.7483296096324921,0.7932617142796516,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,4,54.75760607038225,5401.788626534598,55.25585457938058,0.39449459686875343,0.7971195057034492,0.8212794288992882,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,5,53.98093583243234,5314.367857142857,54.47878385271345,0.4073479324579239,0.8248511999845505,0.8368707224726677,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,6,53.52450763157436,5263.299961635044,54.02274366106306,0.4156569391489029,0.8429100140929222,0.8469248265028,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,7,53.24514492579869,5232.230472237723,53.742758124215264,0.4211945906281471,0.8550025522708893,0.8536595329642296,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,8,53.080168751307895,5213.744304547991,53.576930618286134,0.4244324304163456,0.8620942085981369,0.8576551899313927,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,9,52.99421566554478,5204.160128348214,53.490435573032926,0.4258899800479412,0.8652921691536903,0.8594507798552513,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
5,10,52.96142572675433,5200.519949776785,53.45754705156599,0.42625704407691956,0.8660979494452477,0.8599026873707771,64,2,7.7217658655373e-05,32,17,,,,,,,0.2
